,YEAR,MONTH,LATITUDE,LONGITUDE,PRECIPITATION
0,1979,01,45.83319,6.99776,88.7
1,1979,01,45.84178,7.31894,65.0
2,1979,01,45.8494,7.64021,85.8
3,1979,01,45.85606,7.96156,93.39999999999999
4,1979,01,45.86814,9.24811,73.6
5,1979,01,45.86874,8.92559,70.5
6,1979,01,46.02644,6.01836,130.8
7,1979,01,46.04858,6.66286,111.1
8,1979,01,46.05819,6.98528,86.2
9,1979,01,46.06682,7.30779,73.7
10,1979,01,46.07448,7.6304,66.3
11,1979,01,46.08116,7.95308,100.0
12,1979,01,46.08687,8.27583,68.39999999999999
13,1979,01,46.09494,8.92544,77.6
14,1979,01,46.09638,8.58469,72.0
15,1979,01,46.10113,9.23792,77.3
16,1979,01,46.25144,6.00029,129.6
17,1979,01,46.25152,6.33557,122.7
18,1979,01,46.2735,6.64891,108.0
19,1979,01,46.28289,6.97299,86.8
20,1979,01,46.29183,7.29652,77.3
21,1979,01,46.29953,7.62048,75.7
22,1979,01,46.30624,7.94451,97.3
23,1979,01,46.31198,8.26861,100.7
24,1979,01,46.31673,8.59276,70.4
25,1979,01,46.3205,8.91696,76.1
26,1979,01,46.32329,9.2412,76.5
27,1979,01,46.3251,9.56547,77.3
28,1979,01,46.32576,10.21403,80.2
29,1979,01,46.32592,9.88974,82.6
30,1979,01,46.47603,5.98489,119.5
31,1979,01,46.50778,6.2883,104.6
32,1979,01,46.51673,6.97082,100.89999999999999
33,1979,01,46.51681,7.28513,79.89999999999999
34,1979,01,46.52454,7.61045,78.9
35,1979,01,46.53129,7.93584,95.3
36,1979,01,46.53456,6.64066,107.3
37,1979,01,46.53705,8.2613,88.5
38,1979,01,46.54183,8.58683,90.8
39,1979,01,46.54562,8.9124,100.2
40,1979,01,46.54842,9.238,73.6
41,1979,01,46.54976,10.54057,58.2
42,1979,01,46.55023,9.56363,72.4
43,1979,01,46.5509,10.21493,66.1
44,1979,01,46.55106,9.88928,75.9
45,1979,01,46.70077,5.96788,108.6
46,1979,01,46.71353,6.29425,99.1
47,1979,01,46.71743,6.61481,106.6
48,1979,01,46.73315,6.94607,92.6
49,1979,01,46.74177,7.27367,87.60000000000001
50,1979,01,46.7526,7.59435,84.6
